,R&D Spend,Administration,Marketing Spend,Profit Actual,Profit Predicted,Difference
0,9316.0,111832.9249,86754.28662,56991.47755,57417.19907305855,-425.7215230585498
1,110481.0,126773.4329,281952.4304,143415.8641,143280.56992268018,135.2941773198254
2,55700.0,118683.1253,176252.3413,96616.9285,96785.42517394028,-168.49667394028802
3,113736.0,127254.1462,288232.9618,146196.5825,146043.2375620802,153.34493791978457
4,19561.0,113345.9532,225622.4454004303,65743.69265,71855.90137485086,-6112.2087248508615
5,155679.0,133448.4795,369162.0948,182028.1255,181642.18347470998,385.9420252900163
6,147916.0,132302.0043,354183.3651,175396.2616,175053.3696764367,342.89192356329295
7,113132.0,127164.9447,287067.5421,145680.5905,145530.5950862018,149.99541379819857
8,46177.0,117276.7253,157877.6868,88481.51178,88702.81873235872,-221.30695235871826
9,17303.0,113012.4814,102165.2249,63814.70273,64196.13193572502,-381.42920572502044
10,153606.0,133142.3294,365162.2357,180257.1795,179882.73339444667,374.446105553332
11,59551.0,119251.8585,183682.8563,99906.80457000001,100053.94532597934,-147.1407559793297
12,32892.0,115314.73599999999,132244.24300000002,77132.25091,77427.23051607098,-294.97960607097775
13,14469.0,112593.9434,96697.01419,61393.64099,61790.78628248695,-397.1452924869518
14,38772.0,116183.1212,143589.7191,82155.48418,82417.85593693021,-262.3717569302098
15,137388.0,130747.1813,333869.5604,166402.282,166117.77368949098,284.5083105090307
16,86530.0,123236.2402,235738.9105,122954.7315,122952.25879127996,2.472708720029914
17,149129.0,132481.1456,356523.8519,176432.517,176082.89835885313,349.61864114686614
18,120844.0,128303.888,301947.8672,152268.8856,152076.12284885912,192.76275114089367
19,34384.0,115535.0813,135123.0611,78406.85364,78693.55928349178,-286.70564349177585
20,89706.0,123705.2863,241867.0112,125667.9609,125647.87551857517,20.085381424840307
21,105465.0,126032.6472,272274.0447,139130.7386,139023.26088943414,107.47771056587226
22,80380.0,122327.9801,223872.4687,117700.8395,117732.47200492895,-31.6325049289444
23,78261.0,122015.0366,219783.8524,115890.5961,115933.97960823822,-43.38350823822839
24,103813.0,125788.6723,269086.5062,137719.4492,137621.13279672834,98.31640327165951
25,99011.0,125079.4911,259821.0341,133617.1421,133545.45536934747,71.68673065252369
26,125783.0,129033.302,311477.6812,156488.2307,156268.07845386904,220.15224613095052
27,126763.0,129178.0329,313368.5938,157325.4362,157099.84935141518,225.58684858481865
28,132796.0,130069.0138,325009.2838,162479.376,162220.33288394444,259.0431160555454
29,43245.0,116843.7142,152220.3848,85976.72948,86214.29598849292,-237.56650849292055
30,100606.0,125315.04800000001,262898.5909,134979.7368,134899.20494706673,80.53185293328715
31,141099.0,131295.2386,341029.945,169572.5573,169267.46942949455,305.0878705054347
32,70598.0,120883.3298,204998.073,109344.1613,109430.04039641476,-85.87909641474835
33,58986.0,119168.4168,182592.6873,99424.12995,99574.40393570671,-150.2739857067063
34,73490.0,121310.4336,210578.1949,111814.772,111884.61330322377,-69.84130322377314
35,124967.0,128912.7914,309903.2069,155791.1289,155575.50186172978,215.62703827023506
36,102474.0,125590.9227,266502.902,136575.5531,136484.6621409775,90.89095902247936
37,142143.0,131449.4213,343044.3458,170464.4375,170153.56006137782,310.8774386221776
38,62868.0,119741.7282,190083.0169,102740.489,102869.23521011218,-128.74621011217823
39,38859.0,116195.9697,143757.5858,82229.80752,82491.6968246588,-261.88930465879093
40,133587.0,130185.8323,326535.5205,163155.1205,162891.6908282657,263.4296717342804
41,120687.0,128280.7015,301644.9353,152134.7618,151942.86975798052,191.89204201949178
42,43532.0,116886.0996,152774.1521,86221.9111,86457.88604338553,-235.97494338553224
43,120275.0,128219.8555,300849.9801,151782.7938,151593.18647455567,189.60732544434723
44,8318.0,111685.5357,84828.64289,56138.89476,56570.150745598265,-431.25598559826176
45,135781.0,130509.8522,330768.8495,165029.4358,164753.8391578527,275.5966421473131
46,66102.0,120219.3401,196323.0287,105503.2673,105614.07918663832,-110.81188663831563
47,72107.6,127864.55,353183.81,105008.31,117329.08805168279,-12320.778051682792
48,71633.0,121036.1833,206995.1083,110228.3529,110308.49231934318,-80.139419343177
49,45646.0,117198.3048,156853.1208,88027.88306000001,88252.13469977223,-224.2516397722211
50,81041.0,122425.5996,225147.87,118265.5261,118293.4929909717,-27.966890971700195
51,138546.0,130918.2,336103.9245,167391.5514,167100.62134652515,290.9300534748472
52,155883.0,133478.6071,369555.7134,182202.4009,181815.32762681812,387.0732731818862
53,129228.0,129542.0753,318124.8181,159431.2644,159192.00780185388,239.25659814610844
54,90232.0,123782.9684,242881.9296,126117.3181,126094.31581659315,23.002283406851348
55,87151.0,122592.13757859996,236937.1317,123485.2464,123521.5327847412,-36.286384741193615
56,30744.0,114997.5096,128099.6711,75297.23305,75604.12449235366,-306.89144235366257
57,49875.0,117822.8628,165012.9879,91640.68127,91841.48077272778,-200.79950272777933
58,85328.0,123058.7233,233419.6482,121927.8732,121932.06631889373,-4.193118893730571
59,34715.0,115583.9649,135761.7265,78689.62408,78974.49414891424,-284.87006891424244
60,89669.0,123699.82199999999,241795.6195,125636.3521,125616.47191683811,19.880183161891182
61,53116.0,118301.5084,171266.5062,94409.4396,94592.26597434,-182.82637434000208
62,144520.0,131800.4675,347630.7738,172495.0881,172171.02887446352,324.0592255364754
63,60549.0,119399.2477,185608.5,100759.3874,100900.99365199296,-141.60625199295464
64,140809.0,131252.4101,340470.3892,169324.8128,169021.3331401955,303.47965980452136
65,15505.73,127382.3,35534.17,69758.98,58785.419413583884,10973.560586416112
66,70319.0,120842.1258,204459.7417,109105.8141,109193.24031141035,-87.4262114103476
67,55229.0,118613.5659,175343.5455,96214.55727,96385.6658907468,-171.1086207467888
68,22390.0,113763.7528,111980.6053,68160.48294,68513.70191692316,-353.2189769231627
69,54016.0,118434.4245,173003.0587,95178.30183,95356.13721406591,-177.83538406591106
70,140499.0,131206.6279,339872.2434,169059.9825,168758.22193764691,301.76056235309807
71,130675.0,129755.7748,320916.8085,160667.424,160420.14300338493,247.28099661506712
72,62574.0,119698.3089,189515.7431,102489.3274,102619.70394160453,-130.3765416045353
73,43990.0,116953.7392,153657.8643,86613.17655,86846.61162212229,-233.43507212228724
74,73994.56,122782.75,303319.26,110352.25,116657.93055733433,-6305.68055733433
75,29814.0,114860.1629,126305.2336,74502.74207000001,74814.79088562127,-312.04881562126684
76,111403.0,126909.5981,283731.4319,144203.5207,144063.11356525988,140.40713474011864
77,5885.0,111326.2192,80134.16275,54060.403860000006,54505.1521652215,-444.7483052214957
78,67153.0,120374.5565,198350.9361,106401.1276,106506.11104842991,-104.98344842990628
79,81540.43319,114485.9303,121415.8737,72337.96774,114128.32648471568,-41790.35874471569
80,19644.0,113358.211,106682.1908,65814.59882999999,66183.04589669805,-368.4470666980633
81,9960.0,111928.0338,87996.88638,57541.6412,57963.791378329355,-422.150178329357
82,104168.0,125841.1003,269771.4796,138022.7227,137922.4375603444,100.28513965560705
83,125112.0,128934.2057,310182.9848,155915.0011,155698.57000351153,216.4310964884644
84,116004.0,127589.0947,292609.07399999996,148134.1153,147968.19308549678,165.9222145032254
85,114589.0,127380.1211,289878.8276,146925.293,146767.21774631206,158.0752536879445
86,127074.0,129223.9628,313968.6692,157591.1208,157363.80930358818,227.31149641182856
87,6055.0,111351.3256,80462.17821,54205.633389999995,54649.43895289237,-443.80556289237575
88,60350.0,119369.8585,185224.52899999998,100589.3834,100732.09323445329,-142.70983445328602
89,83918.0,122850.4881,230699.0493,120723.3224,120735.33470945524,-12.012309455240029
90,80315.0,122318.3806,223747.051,117645.3106,117677.3035257897,-31.992925789701985
91,106384.0,126168.3693,274047.2577,139915.8323,139803.25829760742,112.57400239259005
92,83936.0,122853.1464,230733.7804,120738.6997,120750.6121379227,-11.91243792269961
93,90555.0,123830.6705,243505.15899999999,126393.2542,126368.4607178629,24.79348213710182
94,107457.0,126326.8348,276117.6141,140832.487,140713.96256225283,118.52443774716812
95,149598.0,132550.4097,357428.7887,176833.1797,176480.9601467068,352.2195532931946
96,112108.0,127013.7157,285091.7313,144805.7962,144661.47936756798,144.3168324320286
97,122434.0,128538.7064,305015.7765,153627.2089,153425.62870256763,201.58019743236946
98,60864.0,119445.7684,186216.2934,101028.4891,101168.34858337449,-139.85948337448644
99,22177.74,154806.14,28334.72,65200.33,61963.90129972072,3236.4287002792844
100,131845.0,129928.5658,323174.3267,161666.9449,161413.1756086026,253.76929139738786
101,29287.0,114782.3332,125288.3857,74052.53052,74367.5018370656,-314.9713170656032
102,47438.0,117462.9555,160310.7897,89558.7732,89773.0872102491,-214.31401024910156
103,75431.0,121597.0893,214323.3597,113472.9515,113532.02894042649,-59.07744042649574
104,66705.0,120308.3938,197486.5188,106018.405,106125.8729186279,-107.46791862789541
105,23044.0,113860.3385,113242.5001,68719.18949,69068.78168361537,-349.5921936153609
106,84817.0,122983.2565,232433.6723,121491.3304,121498.35720437899,-7.0268043789837975
107,66766.0,120317.4026,197604.2185,106070.5168,106177.64641282304,-107.12961282304605
108,3111.0,110916.5422,74781.72217000001,51690.5996,52150.731263736394,-460.1316637363925
109,15132.0,112691.8583,97976.2745,61960.03617000001,62353.50475861623,-393.46858861622604
110,141217.0,131312.6654,341257.6263,169673.3637,169367.62143385402,305.74226614597137
111,23028.0,113857.9755,113211.6281,68705.52083,69055.20175530997,-349.6809253099782
112,113478.0,127216.0435,287735.1501,145976.1753,145824.26114568522,151.91415431478526
113,117241.0,127771.7805,294995.8688,149190.8738,149018.0916603713,172.78213962868904
114,54437.0,118496.5997,173815.3793,95537.9585,95713.45920162337,-175.50070162337215
115,50634.0,117934.9554,166477.4805,92289.08842,92485.6788498805,-196.59042988049623
116,46307.0,117295.9243,158128.5221,88592.56966000001,88813.155685815,-220.58602581499144
117,137404.0,130749.5442,333900.4324,166415.9507,166131.3536235319,284.5970764680824
118,108606.0,126496.5244,278334.6128,141814.0678,141689.17150941884,124.89629058114951
119,32007.0,115184.0351,130536.6331,76376.20305,76676.0904704061,-299.8874204060994
120,85772.0,123124.2953,234276.3474,122307.1786,122308.9094589294,-1.7308589293970726
121,109716.0,126660.4543,280476.3608,142762.3312,142631.27936524354,131.05183475645026
122,31587.0,115122.0076,129726.2419,76017.40067999999,76319.61722282853,-302.21654282853706
123,103756.0,125780.2543,268976.5245,137670.7546,137572.7542817418,98.00031825818587
124,60472.0,119387.87599999999,185459.9283,100693.6069,100835.6402237569,-142.03332375689934
125,108056.0,126415.2979,277273.3863,141344.2075,141222.361308385,121.84619161498267
126,78709.0,122081.1992,220648.2696,116273.3187,116314.21773895352,-40.89903895351745
127,149794.0,132579.3559,357806.9712,177000.6208,176647.31432410452,353.3064758954861
128,134970.0,130390.08,329204.0228,164336.6055,164065.50630028188,271.09919971812633
129,16708.0,112924.6091,101017.1708,63306.39937000001,63691.12817362366,-384.72880362365686
130,129319.0,129555.5146,318300.4028,159509.0049,159269.24366879105,239.76123120894772
131,140198.0,131162.1749,339291.463,168802.8408,168502.74943923097,300.09136076903087
132,17219.0,113000.0759,102003.1467,63742.94226,64124.8372881384,-381.895028138395
133,154222.0,133233.3031,366350.8093,180783.423,180405.56081459968,377.8621854003286
134,68679.0,120599.9232,201295.3572,107704.7762,107801.2971620658,-96.52096206581336
135,122905.0,128608.2658,305924.5723,154029.5801,153825.3879857611,204.1921142388892
136,109398.0,126613.4906,279862.7789,142490.6665,142361.37819372,129.28830627998104
137,102136.0,125541.0053,265850.7301,136286.8026,136197.78605620452,89.01654379547108
138,64664.71,139553.16,137962.62,107404.34,100592.57144809552,6811.768551904475
139,131074.0,129814.701,321686.6801,161008.2863,160758.79258235308,249.49371764692478
140,26154.0,114319.6374,119243.2536,71376.03566000001,71708.38118696916,-332.3455269691476
141,63645.0,119856.4791,191582.2405,103404.2734,103528.71071091012,-124.43731091011432
142,139592.0,131072.678,338122.1844,168285.1402,167988.40947857048,296.73072142951423
143,73771.0,121351.9329,211120.3851,112054.8279,112123.11087874573,-68.28297874573036
144,67191.0,120380.1685,198424.2572,106433.5906,106538.36339014687,-104.7727901468752
145,62322.0,119661.0924,189029.5084,102274.046,102405.81999402246,-131.77399402245646
146,107173.0,126284.8924,275569.6353,140589.8682,140472.91874750218,116.94945249782177
147,18989.0,113261.4776,105418.3665,65255.037979999994,65627.11738520369,-372.0794052036945
148,102790.0,125637.591,267112.6249,136845.5092,136752.8658228967,92.64337710328982
149,19468.0,113332.2185,106342.5983,65664.24355,66033.66663254988,-369.42308254988166
150,109841.0,126678.9148,280717.5486,142869.1176,142737.37259468908,131.74500531092053
151,65694.0,120159.0848,195535.7916,105154.7165,105267.7908929798,-113.07439297980454
152,34269.0,115518.0976,134901.1683,78308.61013,78595.95351353876,-287.343383538755
153,33519.0,115407.3342,133454.0412,77667.8916,77959.39414534089,-291.5025453408889
154,60822.0,119439.5656,186135.2543,100992.6089,101132.70126244894,-140.0923624489369
155,52985.0,118282.1617,171013.7414,94297.52743,94481.08027608157,-183.55284608156944
156,146120.0,132036.7628,350717.9782,173861.9543,173529.02218675127,332.93211324873846
157,134020.0,130249.7797,327370.9952,163525.0287,163259.19776974223,265.83093025776907
158,32205.0,115213.2767,130918.6746,76545.35274,76844.14213740807,-298.78939740806527
159,142240.0,131463.7467,343231.5076,170547.3037,170235.88840768562,311.41529231437016
160,37255.0,115959.0837,140662.6634,80859.52417,81130.30852742691,-270.78435742690635
161,57905.0,119008.7698,180506.8948,98500.64098,98656.9097020864,-156.2687220864027
162,138565.0,130921.006,336140.5851,167407.783,167116.74751979474,291.0354802052607
163,41847.0,116637.2512,149522.94,84782.43014,85027.74933297347,-245.31919297347486
164,9079.0,111797.9237,86296.99447,56789.0105,57216.04631139083,-427.0358113908369
165,31530.0,115113.5896,129616.2603,75968.70607,76271.2387126642,-302.53264266419865
166,90606.0,123838.2024,243603.5636,126436.8231,126411.7467534788,25.076346521193045
167,118745.0,127993.8981,297897.841,150475.728,150294.60537597566,181.12262402434135
168,120735.0,128287.7904,301737.5514,152175.7678,151983.6095534545,192.15824654549942
169,22449.0,113772.4662,112094.446,68210.88613,68563.777921514,-352.8917915140046
170,64229.0,119942.7269,192709.0701,103903.1796,104024.37826871681,-121.19866871681006
171,44699.0,117058.4475,155025.8817,87218.86912999999,87448.37240937454,-229.50327937454858
172,24538.0,114080.9792,116125.1772,69995.5008,70336.80794064047,-341.3071406404779
173,140277.0,131173.8419,339443.8938,168870.3298,168569.8003676291,300.5294323709095
174,21297.0,113602.3336,109871.6588,67226.74247000001,67586.02273420602,-359.28026420601236
175,61968.0,119608.8121,188346.4644,101971.6268,102105.36397038627,-133.73717038627365
176,43391.0,116865.2761,152502.0922,86101.45602,86338.21288081235,-236.75686081235472
177,66882.0,120334.534,197828.0408,106169.6146,106276.10092757823,-106.48632757822634
178,123767.0,128735.5699,307587.8037,154765.9792,154557.00688377005,208.97231622994877
179,19242.0,113298.8418,105906.5307,65471.1737,65841.85007758794,-370.67637758793717
180,52714.0,118242.1392,170490.8461,94066.01447000001,94251.07015522989,-185.05568522987596
181,5954.0,111336.4094,80267.29844,54119.34996,54563.71562882265,-444.3656688226474
182,7715.0,111596.4819,83665.15275,55623.75707000001,56058.357017415314,-434.5999474153068
183,61136.38,152701.92,88218.23,97483.56,94743.3816144932,2740.1783855067915
184,155044.0,133354.6998,367936.8606,181485.6505,181103.22988128738,382.42061871261103
185,29723.0,114846.7236,126129.6488,74425.00156,74737.55501386186,-312.5534538618522
186,41289.0,116554.8432,148446.2774,84305.73556,84554.14916296469,-248.41360296469065
187,109162.0,126578.63699999999,279407.4163,142289.0538,142161.07418500108,127.97961499891244
188,38547.0,116149.8921,143155.5809,81963.26862,82226.8881276837,-263.619507683703
189,91798.0,124014.2424,245903.5309,127455.1384,127423.45177210806,31.686627891933313
190,154047.0,133207.4583,366013.1464,180633.922,180257.0303000759,376.8916999241046
191,66051.52,182645.56,118148.2,103282.38,98225.25827383387,5057.121726166137
192,66380.0,120260.3964,196859.4305,105740.7603,105850.03052684056,-109.2702268405701
193,7736.0,111599.5833,83705.6723,55641.69719,56076.18067787809,-434.48348787808936
194,30713.0,114992.9313,128039.8566,75270.75002,75577.813380545,-307.06336054499843
195,53078.0,118295.8964,171193.1851,94376.97653,94560.01363262304,-183.0371026230423
